created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sat Oct 28 12:04:55 +0000 2023,1718237406808469953,"Avoskin, dear me beauty, esqa, npure, rollover reaction, BLP saatnya kalian promosiin best review products kalian",0,0,0,0,en,1082278807162109952,1718237406808469953,cassoheepeia,https://twitter.com/cassoheepeia/status/1718237406808469953
Tue Oct 24 07:40:44 +0000 2023,1716721372242829699,"@ohmybeautybank aku pake npure kakk, dia buat kulit berminyak sama sensitiff, aku udh konsul jg sama dokter jg dibolehin, afternya jg enakk ga bikin ketarik, bentuknyaa gel trs gentle jg, bagus poll buat skin barier, ini review pribadi btw",0,2,0,0,in,1435874524549976068,1716688643061100908,aamelieex,https://twitter.com/aamelieex/status/1716721372242829699
Thu Oct 19 04:34:18 +0000 2023,1714862513765158936,"dulu gue nggak percaya kalo facial wash and sunscreen bisa kasih big impact untuk muka gue, until i found this magical ss and fw from @NPUREOFFICIAL 😭🤍✨  ini bener bener honest review dari gue cause i'm not kind of an influencer hihi. intinya mau sungkem deh sama Npure!🙇‍♀️🥹 https://t.co/TkmrK4KRHH",0,1,0,0,in,1120845396157198336,1714862513765158936,beowkay,https://twitter.com/beowkay/status/1714862513765158936
Wed Oct 18 14:38:24 +0000 2023,1714652154148106345,"Setelah hampir setahun baru beli Facial Wash lagi wkwk Cetaphil the best sih, tp lagi nggak ada promo. mau coba Npure deh, murah mumpu tokped lagi baik. EHEHE.  Review setelah setahun pakai:  1. Enak bgt sih, busa gak banyak. 2. Lama lama knp jadi bikin muka kering ya🫠 https://t.co/kEGkNj4A67",0,1,0,0,in,1055493871235325952,1714652154148106345,rubihmsyh,https://twitter.com/rubihmsyh/status/1714652154148106345
Thu Oct 12 09:05:00 +0000 2023,1712393921937154233,Jb good deals banget nihh wts product npure ini agak underated padahal di femaledaily review serumnya bagus2 lohh 🥰,0,1,0,0,in,354882092,1712393921937154233,JUALAN_AUTOBASE,https://twitter.com/JUALAN_AUTOBASE/status/1712393921937154233
Tue Oct 10 09:41:04 +0000 2023,1711678224768663800,"@ohmybeautybank Kebetulan bangett aku oily, aku pake fw dari npure, toner dari forebie, moisturizer dari ceramon, dan sunscreen dari dermacept dn cocokk. Disini review ku yaa nderr, semoga membantu 🌷 https://t.co/jB6flCjKgJ",0,0,0,2,in,1575345479964979200,1711677262322631112,sipazure,https://twitter.com/sipazure/status/1711678224768663800
Tue Oct 03 05:40:17 +0000 2023,1709080912296886774,@ohmybeautybank Trs aku kalau mau rajin facial rasanya segan bgt hahahh pulang kerja rasanya pingin langsung istirahat dan kalau jatah libur rasanya pingin buat main tamasya aja wkwkw. Akhirnya kemarin aku liat review seorang seleb pakai npure advanced peeling gel,0,1,0,0,in,604263631,1708803425914458304,luckygirl948,https://twitter.com/luckygirl948/status/1709080912296886774
Sun Oct 01 12:42:06 +0000 2023,1708462290482397584,"review exfo pad: breylee cleansing pad sm npure cica pad enak banget tp kl kulit sensitif parah aku saranin pake yg npure, formulanya lebih mild dan calming, aromanya juga ga nyengat banget, kl breylee dia aromanya nyengat dan formulanya lebih strong drpd npure  pad npure bigger.",0,0,0,0,in,884428034010370048,1708462290482397584,capgrando,https://twitter.com/capgrando/status/1708462290482397584
Sat Sep 30 15:38:03 +0000 2023,1708144180764279236,"@convomfs skin type: oily, sensitive, acne prone - facial wash : hada labo gokujyun - moisturizer: somethinc calm down - toner: - - serum: skintific symwhite dark spot  - sunscreen: carasun - exfoliating: npure cica clear pad Review: sejak pake semua ini, gada bruntusan dan merah2",0,0,0,1,en,407658254,1708122082985566671,RahajengS_,https://twitter.com/RahajengS_/status/1708144180764279236
Sat Sep 30 13:21:13 +0000 2023,1708109748854521978,WTS NPURE TONER 150 ML  73.999 before voc live  NEW SEALED BISA COD GRATONG XTRA DOM BANDUNG  https://t.co/KhJsqm8MPL…  #wts #wtb #zonauang #zonajajan npure toner rekomendasi toner bagus review npure,0,1,0,0,en,1277655504500649984,1708109748854521978,prelovacia,https://twitter.com/prelovacia/status/1708109748854521978
Sat Sep 30 13:13:58 +0000 2023,1708107923648647588,WTS NPURE TONER 150 ML  74.999 before voc live  NEW SEALED BISA COD GRATONG XTRA DOM BANDUNG  https://t.co/vstsOVNZAC  #wts #wtb #zonauang #zonajajan npure toner rekomendasi toner bagus review npure,0,1,0,0,en,1422259000855302147,1708107923648647588,athenas_picks,https://twitter.com/athenas_picks/status/1708107923648647588
